max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005,0.868,-0.928,-0.06,1.796,0.848,-0.876,-0.028,1.724,0.726,-0.714,0.012,1.44,0.812,-0.619,0.193,1.431
0.925,-0.821,0.104,1.746,0.887,-0.819,0.068,1.706,0.734,-0.738,-0.004,1.472,0.677,-0.684,-0.007,1.361,0.582,-0.605,-0.023,1.187,0.771,-0.65,0.121,1.421
0.761,-0.678,0.083,1.439,0.582,-0.695,-0.113,1.277,0.514,-0.604,-0.09,1.118,0.714,-0.79,-0.076,1.504,0.002,-0.002,0.0,0.004,0.001,-0.003,-0.002,0.004
0.586,-0.646,-0.06,1.232,0.742,-0.739,0.003,1.481,0.001,-0.005,-0.004,0.006,0.002,-0.004,-0.002,0.006,0.935,-0.876,0.059,1.811,0.95,-0.866,0.084,1.816
0.787,-0.902,-0.115,1.689,0.854,-0.861,-0.007,1.715,0.777,-0.692,0.085,1.469,0.668,-0.591,0.077,1.259,0.553,-0.566,-0.013,1.119,0.664,-0.76,-0.096,1.424
0.696,-0.642,0.054,1.338,0.594,-0.558,0.036,1.152,0.616,-0.53,0.086,1.146,0.826,-0.674,0.152,1.5,0.004,-0.001,0.003,0.005,0.003,-0.002,0.001,0.005
0.686,-0.774,-0.088,1.46,0.624,-0.676,-0.052,1.3,0.632,-0.596,0.036,1.228,0.772,-0.724,0.048,1.496,0.002,-0.003,-0.001,0.005,0.003,-0.002,0.001,0.005
0.51,-0.626,-0.116,1.136,0.812,-0.8,0.012,1.612,0.005,0.001,0.006,0.004,0.002,-0.002,0.0,0.004,0.82,-0.997,-0.177,1.817,0.864,-0.906,-0.042,1.77
0.816,-0.828,-0.012,1.644,0.782,-0.847,-0.065,1.629,0.665,-0.731,-0.066,1.396,0.606,-0.526,0.08,1.132,0.543,-0.48,0.063,1.023,0.675,-0.748,-0.073,1.423
0.82,-0.873,-0.053,1.693,0.582,-0.712,-0.13,1.294,0.555,-0.632,-0.077,1.187,0.559,-0.599,-0.04,1.158,0.771,-0.842,-0.071,1.613,-0.002,-0.005,-0.007,0.003
0.667,-0.694,-0.027,1.361,0.638,-0.615,0.023,1.253,0.521,-0.604,-0.083,1.125,0.732,-0.745,-0.013,1.477,0.002,-0.003,-0.001,0.005,0.003,-0.003,0.0,0.006
0.864,-0.848,0.016,1.712,0.784,-0.798,-0.014,1.582,0.75,-0.758,-0.008,1.508,0.698,-0.638,0.06,1.336,0.614,-0.588,0.026,1.202,0.712,-0.742,-0.03,1.454
0.882,-0.949,-0.067,1.831,0.784,-0.861,-0.077,1.645,0.692,-0.68,0.012,1.372,0.521,-0.656,-0.135,1.177,0.554,-0.577,-0.023,1.131,0.738,-0.79,-0.052,1.528
0.879,-0.904,-0.025,1.783,0.868,-0.843,0.025,1.711,0.738,-0.744,-0.006,1.482,0.648,-0.593,0.055,1.241,0.592,-0.522,0.07,1.114,0.712,-0.838,-0.126,1.55
0.667,-0.676,-0.009,1.343,0.602,-0.608,-0.006,1.21,0.59,-0.516,0.074,1.106,0.684,-0.764,-0.08,1.448,0.002,-0.004,-0.002,0.006,0.002,-0.004,-0.002,0.006
0.792,-0.808,-0.016,1.6,0.902,-0.856,0.046,1.758,0.724,-0.825,-0.101,1.549,0.564,-0.693,-0.129,1.257,0.524,-0.573,-0.049,1.097,0.541,-0.728,-0.187,1.269
0.896,-0.894,0.002,1.79,0.795,-0.88,-0.085,1.675,0.664,-0.67,-0.006,1.334,0.61,-0.599,0.011,1.209,0.481,-0.52,-0.039,1.001,0.69,-0.71,-0.02,1.4
0.81,-0.863,-0.053,1.673,0.818,-0.814,0.004,1.632,0.726,-0.756,-0.03,1.482,0.651,-0.597,0.054,1.248,0.533,-0.592,-0.059,1.125,0.754,-0.674,0.08,1.428
0.001,-0.004,-0.003,0.005,0.002,-0.004,-0.002,0.006,0.872,-0.949,-0.077,1.821,0.748,-0.841,-0.093,1.589,0.702,-0.76,-0.058,1.462,0.594,-0.636,-0.042,1.23
0.596,-0.758,-0.162,1.354,0.537,-0.588,-0.051,1.125,0.556,-0.733,-0.177,1.289,0.708,-0.7,0.008,1.408,0.003,-0.002,0.001,0.005,0.002,-0.004,-0.002,0.006
0.003,-0.003,0.0,0.006,0.002,-0.003,-0.001,0.005,1.004,-0.863,0.141,1.867,0.842,-0.902,-0.06,1.744,0.698,-0.668,0.03,1.366,0.606,-0.6,0.006,1.206
0.8,-0.894,-0.094,1.694,0.816,-0.834,-0.018,1.65,0.658,-0.731,-0.073,1.389,0.706,-0.648,0.058,1.354,0.588,-0.54,0.048,1.128,0.665,-0.72,-0.055,1.385
0.872,-0.973,-0.101,1.845,0.75,-0.888,-0.138,1.638,0.704,-0.766,-0.062,1.47,0.53,-0.652,-0.122,1.182,0.4,-0.64,-0.24,1.04,0.77,-0.802,-0.032,1.572
0.854,-0.958,-0.104,1.812,0.774,-0.902,-0.128,1.676,0.672,-0.758,-0.086,1.43,0.57,-0.672,-0.102,1.242,0.544,-0.632,-0.088,1.176,0.71,-0.848,-0.138,1.558
0.91,-0.966,-0.056,1.876,0.842,-0.802,0.04,1.644,0.752,-0.741,0.011,1.493,0.627,-0.646,-0.019,1.273,0.498,-0.636,-0.138,1.134,0.718,-0.754,-0.036,1.472
0.746,-0.623,0.123,1.369,0.654,-0.596,0.058,1.25,0.822,-0.772,0.05,1.594,0.003,-0.003,0.0,0.006,0.001,-0.004,-0.003,0.005,1.004,-0.88,0.124,1.884
0.688,-0.76,-0.072,1.448,0.657,-0.608,0.049,1.265,0.474,-0.569,-0.095,1.043,0.748,-0.69,0.058,1.438,0.002,-0.004,-0.002,0.006,0.003,-0.001,0.002,0.004
0.856,-0.898,-0.042,1.754,0.704,-0.866,-0.162,1.57,0.62,-0.722,-0.102,1.342,0.56,-0.686,-0.126,1.246,0.592,-0.554,0.038,1.146,0.658,-0.716,-0.058,1.374
0.875,-0.839,0.036,1.714,0.816,-0.794,0.022,1.61,0.784,-0.626,0.158,1.41,0.671,-0.612,0.059,1.283,0.545,-0.544,0.001,1.089,0.668,-0.712,-0.044,1.38
0.856,-0.8,0.056,1.656,0.772,-0.798,-0.026,1.57,0.584,-0.636,-0.052,1.22,0.582,-0.598,-0.016,1.18,0.485,-0.577,-0.092,1.062,0.767,-0.694,0.073,1.461
0.652,-0.615,0.037,1.267,0.667,-0.514,0.153,1.181,0.64,-0.463,0.177,1.103,0.74,-0.695,0.045,1.435,0.002,-0.003,-0.001,0.005,0.002,-0.004,-0.002,0.006
0.696,-0.725,-0.029,1.421,0.592,-0.6,-0.008,1.192,0.502,-0.606,-0.104,1.108,0.724,-0.708,0.016,1.432,-0.003,-0.006,-0.009,0.003,0.001,-0.003,-0.002,0.004
0.722,-0.862,-0.14,1.584,0.802,-0.79,0.012,1.592,0.654,-0.656,-0.002,1.31,0.598,-0.626,-0.028,1.224,0.543,-0.54,0.003,1.083,0.608,-0.731,-0.123,1.339
0.608,-0.674,-0.066,1.282,0.792,-0.587,0.205,1.379,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005,0.81,-0.766,0.044,1.576,0.803,-0.784,0.019,1.587
0.84,-11.264,-10.424,12.104,0.768,-5.633,-4.865,6.401,4.096,-0.575,3.521,4.671,0.756,-6.912,-6.156,7.668,0.608,-0.004,0.604,0.612,0.792,-0.003,0.789,0.795
0.798,-0.788,0.01,1.586,0.793,-0.833,-0.04,1.626,0.761,-0.634,0.127,1.395,0.858,-0.51,0.348,1.368,0.7,-0.54,0.16,1.24,0.648,-0.782,-0.134,1.43
0.736,-1.02,-0.284,1.756,0.706,-0.792,-0.086,1.498,0.812,-0.678,0.134,1.49,0.948,-0.806,0.142,1.754,0.003,-0.003,0.0,0.006,0.003,-0.002,0.001,0.005
0.802,-0.932,-0.13,1.734,0.778,-0.796,-0.018,1.574,0.677,-0.788,-0.111,1.465,0.881,-0.609,0.272,1.49,0.003,-0.003,0.0,0.006,0.002,-0.003,-0.001,0.005
0.762,-0.847,-0.085,1.609,0.794,-0.894,-0.1,1.688,0.678,-0.784,-0.106,1.462,0.759,-0.867,-0.108,1.626,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005
0.96,-0.851,0.109,1.811,0.911,-1.002,-0.091,1.913,0.728,-0.72,0.008,1.448,0.638,-0.792,-0.154,1.43,0.606,-0.606,0.0,1.212,0.84,-0.652,0.188,1.492
0.002,-0.004,-0.002,0.006,0.002,-0.004,-0.002,0.006,0.848,-1.052,-0.204,1.9,0.899,-0.867,0.032,1.766,0.797,-0.924,-0.127,1.721,0.885,-0.804,0.081,1.689
0.881,-0.855,0.026,1.736,0.892,-0.736,0.156,1.628,0.806,-0.704,0.102,1.51,0.828,-0.91,-0.082,1.738,0.002,-0.004,-0.002,0.006,0.002,-0.004,-0.002,0.006
0.003,-0.002,0.001,0.005,0.003,-0.003,0.0,0.006,0.852,-1.083,-0.231,1.935,0.92,-0.981,-0.061,1.901,0.734,-0.776,-0.042,1.51,0.732,-0.712,0.02,1.444
0.001,-0.003,-0.002,0.004,0.002,-0.003,-0.001,0.005,0.935,-0.946,-0.011,1.881,0.923,-0.902,0.021,1.825,0.736,-0.818,-0.082,1.554,0.633,-0.666,-0.033,1.299
0.001,-0.004,-0.003,0.005,0.001,-0.004,-0.003,0.005,1.058,-0.936,0.122,1.994,0.958,-0.95,0.008,1.908,0.812,-0.864,-0.052,1.676,0.842,-0.726,0.116,1.568
0.826,-0.851,-0.025,1.677,0.772,-0.67,0.102,1.442,0.676,-0.604,0.072,1.28,0.883,-0.87,0.013,1.753,0.002,-0.004,-0.002,0.006,0.003,-0.002,0.001,0.005
0.002,-0.003,-0.001,0.005,0.003,-0.002,0.001,0.005,0.797,-0.888,-0.091,1.685,0.726,-0.834,-0.108,1.56,0.622,-0.694,-0.072,1.316,0.71,-0.611,0.099,1.321
0.901,-0.932,-0.031,1.833,0.944,-0.892,0.052,1.836,0.954,-0.966,-0.012,1.92,0.864,-0.845,0.019,1.709,0.683,-0.593,0.09,1.276,0.844,-0.772,0.072,1.616
0.001,-0.003,-0.002,0.004,0.002,-0.004,-0.002,0.006,0.892,-0.934,-0.042,1.826,0.828,-0.846,-0.018,1.674,0.73,-0.628,0.102,1.358,0.678,-0.648,0.03,1.326
0.852,-0.691,0.161,1.543,0.748,-0.654,0.094,1.402,0.654,-0.613,0.041,1.267,0.787,-0.713,0.074,1.5,0.002,-0.003,-0.001,0.005,0.002,-0.002,0.0,0.004
