,pe11,pe12,pe13,pe14,pe15,pe16
count,100,100,100,100,100,100
mean,25.49712294,30.74345549,27.86222928,27.05672394,17.27624879,24.33163429
std,0.877303455,0.975186627,1.043767039,1.050823092,1.10075935,0.987935167
min,23.55372678,28.86517919,25.70700406,24.82479719,15.49280526,22.2230026
25%,24.83420613,30.04017775,27.16202071,26.33915964,16.45757422,23.57808571
50%,25.48174975,30.69689372,27.89757343,27.06935025,17.00169563,24.31702239
75%,26.1369705,31.40489507,28.45819925,27.72411097,17.9387416,25.01758042
max,27.32112549,33.2459733,30.47637236,29.53924521,19.64700748,26.69822509
,,,,,,
max of mean,30.74345549,30.74345549,30.74345549,30.74345549,30.74345549,30.74345549
scale,1.205761746,1,1.103409751,1.136259348,1.779521461,1.263517901
